time_[s] a_x a_y a_z alpha
0.001 0.005859375 0.023681640625 1.002197265625 0.005846462009849602
0.013 0.00390625 0.02783203125 1.007568359375 0.003876888742064287
0.025 0.00439453125 0.025146484375 1.0029296875 0.004381666213695158
0.037 0.006591796875 0.024658203125 1.000732421875 0.006586877169141978
0.049 0.00537109375 0.02734375 1.0048828125 0.00534494424144527
0.061 0.003662109375 0.025634765625 1.001220703125 0.003657628165989109
0.073 0.001953125 0.027099609375 1.00048828125 0.0019521693112308522
0.085 0.005126953125 0.024169921875 1.002197265625 0.005115667919433023
0.097 0.003662109375 0.026611328125 1.003662109375 0.0036487310712110844
0.109 0.00390625 0.02685546875 1.007080078125 0.003878768426848195
0.121 0.00439453125 0.026123046875 1.00146484375 0.004388075199568004
0.133 0.00537109375 0.025390625 1.00244140625 0.005357961392132255
0.145 0.004150390625 0.027099609375 1.002685546875 0.004139250769573852
0.157 0.00439453125 0.028076171875 1.00244140625 0.004383800461182019
0.169 0.006103515625 0.02734375 1.00146484375 0.006094512548400827
0.181 0.006103515625 0.02587890625 1.006103515625 0.006066414297757984
0.193 0.005615234375 0.026123046875 1.008544921875 0.005567601633196472
0.205 0.00537109375 0.027099609375 1.0087890625 0.005324247850216816
0.217 0.001708984375 0.025146484375 1.00146484375 0.0017064829851622617
0.228 0.004150390625 0.025634765625 1.002197265625 0.0041412674338640165
0.241 0.006591796875 0.025634765625 1.003662109375 0.006567650642804421
0.253 0.005126953125 0.024658203125 1.011962890625 0.005066301647239055
0.265 0.004638671875 0.0263671875 1.0048828125 0.004616099379683243
0.276 0.0029296875 0.025390625 1.000732421875 0.002927534939774852
0.289 0.0048828125 0.026123046875 1.004150390625 0.004862592357822011
0.301 0.00390625 0.02490234375 1.00537109375 0.0038853617017312663
0.313 0.004638671875 0.026611328125 1.00341796875 0.004622838114956123
0.324 0.00390625 0.025634765625 1.00146484375 0.0039005165427664795
0.337 0.005859375 0.0263671875 1.001953125 0.0058478865538886685
0.348 0.004638671875 0.025634765625 1.007568359375 0.004603795920816594
0.361 0.00537109375 0.0263671875 1.003173828125 0.005354049594399245
0.372 0.00341796875 0.024169921875 1.00048828125 0.003416287343875374
0.385 0.00537109375 0.026611328125 1.001708984375 0.005361878910097319
0.396 0.005126953125 0.027099609375 1.00634765625 0.005094570188541434
0.409 0.005615234375 0.02490234375 1.002685546875 0.005600136245710135
0.42 0.00537109375 0.02685546875 1.0048828125 0.00534494424144527
0.433 0.00634765625 0.025390625 1.000244140625 0.006346021717143139
0.444 0.0048828125 0.027099609375 1.0029296875 0.004868510706858234
0.457 0.003662109375 0.026611328125 1.00244140625 0.0036531742015421084
0.468 0.004150390625 0.02587890625 1.000244140625 0.004149353779866456
0.481 0.00537109375 0.026123046875 1.00390625 0.005350143504378803
0.492 0.00634765625 0.025634765625 1.006103515625 0.0063090645543613525
0.505 0.0048828125 0.028076171875 1.007568359375 0.004846097270502344
0.516 0.003662109375 0.024658203125 1.0048828125 0.003644298735513809
0.529 0.003662109375 0.026123046875 1.003173828125 0.003650507025780744
0.54 0.00537109375 0.027587890625 1.004150390625 0.00534884274059396
0.553 0.00390625 0.025390625 1.001708984375 0.0038995659025043215
0.564 0.0048828125 0.02685546875 1.00439453125 0.004861410414278964
0.576 0.005126953125 0.026611328125 1.003173828125 0.005110688042286633
0.588 0.004150390625 0.026611328125 1.00732421875 0.004120189966736325
0.6 0.00439453125 0.02685546875 1.0029296875 0.004381666213695158
0.612 0.005126953125 0.026611328125 1.003173828125 0.005110688042286633
0.624 0.004638671875 0.026123046875 1.005126953125 0.004614978166705475
0.636 0.00341796875 0.027587890625 1.003173828125 0.003407141841425881
0.648 0.0048828125 0.02734375 1.004638671875 0.0048602290451785
0.66 0.00537109375 0.028564453125 1.005126953125 0.005343646004262531
0.672 0.004638671875 0.024658203125 1.004150390625 0.004619466289773559
0.684 0.006591796875 0.025146484375 1.00390625 0.006566053497411959
0.696 0.005859375 0.025390625 1.00390625 0.005836509601319674
0.708 0.005126953125 0.025390625 1.004150390625 0.005105717851008862
0.72 0.005615234375 0.02685546875 1.00439453125 0.005590607773125171
0.732 0.007080078125 0.028076171875 1.00341796875 0.007055843976651717
0.744 0.005615234375 0.024658203125 1.002685546875 0.005600136245710135
0.756 0.005615234375 0.027099609375 1.00439453125 0.005590607773125171
0.768 0.006591796875 0.02685546875 1.00341796875 0.006569248565363056
0.78 0.005126953125 0.02490234375 1.00537109375 0.005099518689666912
0.792 0.005126953125 0.026611328125 1.004638671875 0.005103236378744283
0.804 0.00341796875 0.026611328125 1.003662109375 0.003405484280981905
0.816 0.004150390625 0.02587890625 1.005859375 0.0041261901753317405
0.828 0.0048828125 0.027099609375 1.0068359375 0.0048496225042429526
0.84 0.005859375 0.025146484375 1.006591796875 0.005820938378073946
0.852 0.002197265625 0.025634765625 1.005615234375 0.002184992881139541
0.864 0.005126953125 0.0263671875 1.000732421875 0.0051231559581824135
0.876 0.00341796875 0.02685546875 1.00390625 0.003404656105407737
0.888 0.0068359375 0.026123046875 1.003173828125 0.006814204580288927
0.9 0.004638671875 0.025634765625 1.005126953125 0.004614978166705475
0.912 0.006103515625 0.025634765625 1.003173828125 0.00608413033030497
0.924 0.007080078125 0.02685546875 1.004150390625 0.007050697652762604
0.936 0.006103515625 0.028076171875 1.00634765625 0.0060649426176226
0.947 0.0048828125 0.024658203125 1.005859375 0.004854330801675483
0.96 0.005126953125 0.025146484375 1.00537109375 0.005099518689666912
0.972 0.005615234375 0.024658203125 1.00341796875 0.005596048640389897
